video_id,text,type
XFQADQYaTuE,அவருக்கு எத்தனை பொண்டாட்டி😂😂😂,code_mixed
XFQADQYaTuE,பிரருகு சொல்லி கொடுப்பவன் தான் நல்ல குரு ஆசான் ❤❤❤❤ நமக்கு சொல்லி தருபவர் மற்றவர் தான் நல்லதும் சரி கெட்டதும் சரி❤❤❤❤,code_mixed
XFQADQYaTuE,அண்ணா எனக்கு ifb front load மிஷின் ஆனா மேல உள்ள சுவிட்சில் கரண்டு வருது அத வேலை பார்க்க 7350 கேட்காங்க என்ன பண்ணும்,code_mixed
XFQADQYaTuE,இந்த தொழில் அவ்வளவு கேவலமா போச்சி....முதலில் அணுக்களின் அமைப்பை படிக்கனும்....,pure_tamil
XFQADQYaTuE,ஹாலோ பிரதர் jbl gt கார் அம்பிளிஃபையர்    வீட்டில செட் பண்ண முடியுமா  அதற்கு      அடாப்டர் எப்படி வாங்குவது  எவ்வளவு வோல்டேஜ் எவ்வளவு ஆம்ஸ் ப்ளீஸ் ரிப்ளை ப்ரோ,code_mixed
XFQADQYaTuE,"அருமை  தம்பி வாழ்த்துகள். அனைவரும் ஆதரிக்க, வயது மூத்தோர் வாழ்த்த நீவீர் நீடூழி வாழவேண்டும்.நன்றி.",pure_tamil
XFQADQYaTuE,"Thank you bro.

15 years முன்னால நானும் TV,, Radio power PCB லாம் பாத்திருக்கேன் நீங்க இப்ப சொன்னதுக்கு அப்புறம் தான் எனக்கு தெளிவா புரிஞ்சது Thank you",code_mixed
XFQADQYaTuE,அருமை பிரதர்,pure_tamil
XFQADQYaTuE,"உங்களுடைய விளக்கம்  மிகவும் அருமையாக இருந்தது நன்றி
இதுபோல பயனுள்ள தகவல்களை நான் வரவேற்கிறேன்",pure_tamil
XFQADQYaTuE,Pcb bordல இருக்கிற glue உருகுது இது சரி செய்ய முடியுமா,code_mixed
XFQADQYaTuE,அருமை,pure_tamil
XFQADQYaTuE,"❤,👍 அண்ணே உங்களுக்கு எந்த ஊர்",code_mixed
XFQADQYaTuE,"நீங்கள் சொல்வது நிதர்சனமான உண்மை bro, நமக்கு தெரிந்த வற்றை மற்ற வர்களுக்கு கற்றுக் கொடுப்பது ஒரு சிறந்த தர்மம் (keep it up) ❤",code_mixed
